key,value
15034.0,"{""AN3"":0.22573,""AN4"":0.41283,""AN5"":4.1278,""AN6"":0.95704,""AN7"":-1.657,""AN8"":0.47608,""AN9"":-0.60655,""AN10"":5.6338,""SPEED"":7.911457530686706E-4,""ID"":579.0,""TIMESTAMP"":""2020-06-09 11:54:17""}"
61909.0,"{""AN3"":-1.9024,""AN4"":6.2648,""AN5"":3.9463,""AN6"":6.7225,""AN7"":-0.18276,""AN8"":8.5627,""AN9"":1.8786,""AN10"":3.7177,""SPEED"":9.043310054515342E-4,""ID"":519.0,""TIMESTAMP"":""2020-06-09 11:53:17""}"
15917.0,"{""AN3"":-5.6881,""AN4"":-0.24741,""AN5"":-5.4588,""AN6"":-1.4119,""AN7"":4.4029,""AN8"":3.1802,""AN9"":-6.3119,""AN10"":-0.12023,""SPEED"":4.0193764708331645E-4,""ID"":501.0,""TIMESTAMP"":""2020-06-09 11:52:59""}"
95245.0,"{""AN3"":-3.0105,""AN4"":-1.8706,""AN5"":-4.3645,""AN6"":-1.1778,""AN7"":0.4324,""AN8"":-2.0697,""AN9"":4.2469,""AN10"":1.4198,""SPEED"":9.521689852227644E-5,""ID"":621.0,""TIMESTAMP"":""2020-06-09 11:54:59""}"
616.0,"{""AN3"":3.9664,""AN4"":2.0699,""AN5"":1.9534,""AN6"":-2.7907,""AN7"":0.75331,""AN8"":-27.358,""AN9"":-3.6495,""AN10"":-3.8721,""SPEED"":6.315566584014506E-4,""ID"":634.0,""TIMESTAMP"":""2020-06-09 11:55:12""}"
95201.0,"{""AN3"":0.93569,""AN4"":-7.8495,""AN5"":5.0291,""AN6"":3.5173,""AN7"":-2.0816,""AN8"":13.002,""AN9"":5.3979,""AN10"":1.1413,""SPEED"":3.639564354242667E-4,""ID"":600.0,""TIMESTAMP"":""2020-06-09 11:54:38""}"
37709.0,"{""AN3"":0.92497,""AN4"":-1.1218,""AN5"":7.9999,""AN6"":8.2887,""AN7"":-1.3003,""AN8"":-0.87582,""AN9"":-2.4197,""AN10"":-6.0695,""SPEED"":3.8520211317271167E-4,""ID"":618.0,""TIMESTAMP"":""2020-06-09 11:54:56""}"
53548.0,"{""AN3"":0.19744,""AN4"":-0.84287,""AN5"":1.193,""AN6"":-2.9438,""AN7"":0.31008,""AN8"":-2.0942,""AN9"":19.479,""AN10"":5.6572,""SPEED"":6.725965979110868E-4,""ID"":552.0,""TIMESTAMP"":""2020-06-09 11:53:50""}"
3368.0,"{""AN3"":2.9502,""AN4"":1.5631,""AN5"":0.4855,""AN6"":-11.555,""AN7"":-2.1587,""AN8"":-10.8,""AN9"":0.23216,""AN10"":0.67325,""SPEED"":6.777125721031661E-4,""ID"":598.0,""TIMESTAMP"":""2020-06-09 11:54:36""}"
47485.0,"{""AN3"":2.1255,""AN4"":-2.3343,""AN5"":1.0046,""AN6"":-2.3514,""AN7"":4.3506,""AN8"":-11.191,""AN9"":4.7861,""AN10"":6.3139,""SPEED"":6.927771029927751E-4,""ID"":630.0,""TIMESTAMP"":""2020-06-09 11:55:08""}"
27688.0,"{""AN3"":-1.5892,""AN4"":-2.6555,""AN5"":4.9432,""AN6"":-0.93584,""AN7"":-3.8496,""AN8"":11.044,""AN9"":-11.212,""AN10"":-2.012,""SPEED"":2.4404865250112783E-4,""ID"":729.0,""TIMESTAMP"":""2020-06-09 11:56:47""}"
38893.0,"{""AN3"":0.55378,""AN4"":0.077249,""AN5"":-4.9104,""AN6"":-6.8344,""AN7"":-1.0164,""AN8"":-5.2625,""AN9"":-5.1536,""AN10"":1.785,""SPEED"":6.347785287362073E-4,""ID"":665.0,""TIMESTAMP"":""2020-06-09 11:55:43""}"
36280.0,"{""AN3"":2.3925,""AN4"":-1.4489,""AN5"":4.9374,""AN6"":5.7781,""AN7"":6.0589,""AN8"":9.1878,""AN9"":8.0199,""AN10"":7.129,""SPEED"":7.320781497887396E-4,""ID"":711.0,""TIMESTAMP"":""2020-06-09 11:56:29""}"
82540.0,"{""AN3"":-4.1424,""AN4"":1.3617,""AN5"":2.4881,""AN6"":-1.7945,""AN7"":-1.175,""AN8"":-4.3553,""AN9"":-6.8539,""AN10"":0.15276,""SPEED"":5.407125075585806E-5,""ID"":531.0,""TIMESTAMP"":""2020-06-09 11:53:29""}"
23032.0,"{""AN3"":2.0706,""AN4"":4.7192,""AN5"":2.2042,""AN6"":-1.0711,""AN7"":1.6828,""AN8"":6.3951,""AN9"":7.6063,""AN10"":-1.6201,""SPEED"":4.806288851555485E-5,""ID"":723.0,""TIMESTAMP"":""2020-06-09 11:56:41""}"
35988.0,"{""AN3"":-1.1514,""AN4"":-3.4166,""AN5"":-0.59667,""AN6"":-1.814,""AN7"":1.8265,""AN8"":1.8367,""AN9"":3.4725,""AN10"":3.1011,""SPEED"":9.283938003892033E-4,""ID"":673.0,""TIMESTAMP"":""2020-06-09 11:55:51""}"
40952.0,"{""AN3"":1.9117,""AN4"":-0.029949,""AN5"":3.8636,""AN6"":2.8069,""AN7"":1.1248,""AN8"":-10.248,""AN9"":3.2125,""AN10"":-11.888,""SPEED"":5.616992695780787E-5,""ID"":639.0,""TIMESTAMP"":""2020-06-09 11:55:17""}"
17593.0,"{""AN3"":-0.69351,""AN4"":-2.3056,""AN5"":1.2736,""AN6"":-4.5169,""AN7"":-0.26558,""AN8"":8.7232,""AN9"":2.5215,""AN10"":2.1659,""SPEED"":8.996930887475908E-4,""ID"":596.0,""TIMESTAMP"":""2020-06-09 11:54:34""}"
24948.0,"{""AN3"":8.0768,""AN4"":-2.2864,""AN5"":-2.1681,""AN6"":-9.2919,""AN7"":-2.3559,""AN8"":-13.088,""AN9"":1.5033,""AN10"":-0.020027,""SPEED"":9.11652345105782E-4,""ID"":563.0,""TIMESTAMP"":""2020-06-09 11:54:01""}"
74695.0,"{""AN3"":-4.4501,""AN4"":7.0602,""AN5"":2.1511,""AN6"":0.91116,""AN7"":1.3146,""AN8"":2.5622,""AN9"":-5.2658,""AN10"":5.5609,""SPEED"":3.607230841621355E-4,""ID"":587.0,""TIMESTAMP"":""2020-06-09 11:54:25""}"
43250.0,"{""AN3"":2.588,""AN4"":-2.0974,""AN5"":-2.074,""AN6"":0.37867,""AN7"":-5.4771,""AN8"":1.2344,""AN9"":-7.6674,""AN10"":6.1129,""SPEED"":7.92369975446428E-4,""ID"":695.0,""TIMESTAMP"":""2020-06-09 11:56:13""}"
18277.0,"{""AN3"":-3.1532,""AN4"":-2.6455,""AN5"":1.3145,""AN6"":1.2177,""AN7"":0.48666,""AN8"":23.38,""AN9"":-8.826,""AN10"":1.1107,""SPEED"":2.1767285775848953E-4,""ID"":697.0,""TIMESTAMP"":""2020-06-09 11:56:15""}"
39087.0,"{""AN3"":2.6101,""AN4"":2.0512,""AN5"":0.051849,""AN6"":4.3503,""AN7"":2.0331,""AN8"":14.157,""AN9"":5.6716,""AN10"":-1.8679,""SPEED"":3.393312249563296E-5,""ID"":523.0,""TIMESTAMP"":""2020-06-09 11:53:21""}"
7215.0,"{""AN3"":-3.2048,""AN4"":-1.7815,""AN5"":-6.1931,""AN6"":-0.41473,""AN7"":-3.5351,""AN8"":-0.11836,""AN9"":6.6221,""AN10"":-5.441,""SPEED"":5.44445330483681E-4,""ID"":591.0,""TIMESTAMP"":""2020-06-09 11:54:29""}"
49583.0,"{""AN3"":-0.80714,""AN4"":-2.5479,""AN5"":1.7909,""AN6"":3.4833,""AN7"":-3.7226,""AN8"":8.3562,""AN9"":-2.2365,""AN10"":2.3448,""SPEED"":1.5923233597813657E-4,""ID"":527.0,""TIMESTAMP"":""2020-06-09 11:53:25""}"
79278.0,"{""AN3"":-2.4331,""AN4"":1.5563,""AN5"":-5.4043,""AN6"":3.3747,""AN7"":-1.9058,""AN8"":-1.8304,""AN9"":-10.979,""AN10"":3.4547,""SPEED"":6.640223177720417E-5,""ID"":598.0,""TIMESTAMP"":""2020-06-09 11:54:36""}"
85647.0,"{""AN3"":0.26351,""AN4"":2.6927,""AN5"":-5.9417,""AN6"":-3.4791,""AN7"":3.2607,""AN8"":0.58253,""AN9"":13.005,""AN10"":0.497,""SPEED"":1.5840891134613166E-4,""ID"":612.0,""TIMESTAMP"":""2020-06-09 11:54:50""}"
82452.0,"{""AN3"":-1.062,""AN4"":-2.7654,""AN5"":4.3181,""AN6"":-2.6355,""AN7"":-3.59,""AN8"":1.8155,""AN9"":8.0623,""AN10"":-4.0862,""SPEED"":9.172644781355151E-4,""ID"":576.0,""TIMESTAMP"":""2020-06-09 11:54:14""}"
1660.0,"{""AN3"":-2.0065,""AN4"":-4.0108,""AN5"":-0.59924,""AN6"":0.34058,""AN7"":-2.3935,""AN8"":7.9774,""AN9"":-4.5171,""AN10"":1.1138,""SPEED"":4.5249108742942954E-4,""ID"":679.0,""TIMESTAMP"":""2020-06-09 11:55:57""}"
63564.0,"{""AN3"":-0.5789,""AN4"":-0.30032,""AN5"":-5.8139,""AN6"":-0.16652,""AN7"":0.31805,""AN8"":4.3471,""AN9"":-2.0806,""AN10"":-4.76,""SPEED"":7.641862642377757E-4,""ID"":746.0,""TIMESTAMP"":""2020-06-09 11:57:04""}"
63842.0,"{""AN3"":0.23217,""AN4"":3.9548,""AN5"":8.6295,""AN6"":7.2179,""AN7"":-2.1196,""AN8"":-10.258,""AN9"":5.0532,""AN10"":-9.8311,""SPEED"":6.48939711691442E-5,""ID"":509.0,""TIMESTAMP"":""2020-06-09 11:53:07""}"
40375.0,"{""AN3"":0.42801,""AN4"":6.4461,""AN5"":2.5616,""AN6"":-0.24558,""AN7"":-4.6974,""AN8"":-7.0899,""AN9"":2.1441,""AN10"":1.5928,""SPEED"":2.554932665162053E-4,""ID"":622.0,""TIMESTAMP"":""2020-06-09 11:55:00""}"
74450.0,"{""AN3"":-0.031005,""AN4"":-5.8491,""AN5"":-2.054,""AN6"":-0.34225,""AN7"":3.127,""AN8"":3.9266,""AN9"":0.016389,""AN10"":4.3516,""SPEED"":8.740066822996692E-4,""ID"":601.0,""TIMESTAMP"":""2020-06-09 11:54:39""}"
54978.0,"{""AN3"":-0.13567,""AN4"":-0.89974,""AN5"":4.7447,""AN6"":1.2346,""AN7"":-0.45239,""AN8"":-5.3945,""AN9"":5.662,""AN10"":-6.2034,""SPEED"":9.091285719898888E-4,""ID"":657.0,""TIMESTAMP"":""2020-06-09 11:55:35""}"
98072.0,"{""AN3"":2.0242,""AN4"":0.6733,""AN5"":3.657,""AN6"":0.3286,""AN7"":-0.23857,""AN8"":3.9464,""AN9"":6.5551,""AN10"":-1.419,""SPEED"":7.328965285904176E-4,""ID"":707.0,""TIMESTAMP"":""2020-06-09 11:56:25""}"
50055.0,"{""AN3"":1.1135,""AN4"":-4.0697,""AN5"":-6.6064,""AN6"":-9.1507,""AN7"":0.45953,""AN8"":-6.927,""AN9"":6.3325,""AN10"":-0.90053,""SPEED"":7.473446440893335E-4,""ID"":682.0,""TIMESTAMP"":""2020-06-09 11:56:00""}"
22142.0,"{""AN3"":-3.5631,""AN4"":1.7337,""AN5"":4.1484,""AN6"":-1.9801,""AN7"":-3.055,""AN8"":2.0429,""AN9"":6.1723,""AN10"":-0.64746,""SPEED"":8.760245596722471E-4,""ID"":636.0,""TIMESTAMP"":""2020-06-09 11:55:14""}"
53257.0,"{""AN3"":3.8867,""AN4"":-0.74496,""AN5"":3.4423,""AN6"":-2.8161,""AN7"":-0.44418,""AN8"":-3.1812,""AN9"":1.3204,""AN10"":-0.26512,""SPEED"":3.4305459372826905E-4,""ID"":550.0,""TIMESTAMP"":""2020-06-09 11:53:48""}"
29364.0,"{""AN3"":0.82884,""AN4"":-0.28332,""AN5"":3.9296,""AN6"":1.2295,""AN7"":-1.524,""AN8"":-0.45361,""AN9"":3.4789,""AN10"":-4.6651,""SPEED"":4.510271610664095E-4,""ID"":624.0,""TIMESTAMP"":""2020-06-09 11:55:02""}"
74920.0,"{""AN3"":1.2109,""AN4"":0.97695,""AN5"":4.5995,""AN6"":0.12039,""AN7"":-6.4976,""AN8"":-6.9884,""AN9"":-6.8787,""AN10"":-0.39843,""SPEED"":1.293773570629856E-4,""ID"":587.0,""TIMESTAMP"":""2020-06-09 11:54:25""}"
49870.0,"{""AN3"":-1.6878,""AN4"":3.4799,""AN5"":-0.80873,""AN6"":-3.3087,""AN7"":3.0907,""AN8"":4.0986,""AN9"":-6.1249,""AN10"":1.8705,""SPEED"":5.56609114934253E-4,""ID"":718.0,""TIMESTAMP"":""2020-06-09 11:56:36""}"
88863.0,"{""AN3"":-1.2666,""AN4"":3.4702,""AN5"":-3.2973,""AN6"":-5.4728,""AN7"":1.2923,""AN8"":-6.3737,""AN9"":3.4887,""AN10"":-3.3099,""SPEED"":6.550292705604469E-4,""ID"":509.0,""TIMESTAMP"":""2020-06-09 11:53:07""}"
94208.0,"{""AN3"":-2.7262,""AN4"":0.56271,""AN5"":-2.3604,""AN6"":-3.1833,""AN7"":-2.216,""AN8"":0.90546,""AN9"":-3.7421,""AN10"":10.07,""SPEED"":3.173188708278841E-4,""ID"":701.0,""TIMESTAMP"":""2020-06-09 11:56:19""}"
56279.0,"{""AN3"":1.8058,""AN4"":0.48984,""AN5"":0.13249,""AN6"":-5.0782,""AN7"":-4.2348,""AN8"":18.935,""AN9"":-6.958,""AN10"":1.9725,""SPEED"":6.107848347019296E-5,""ID"":744.0,""TIMESTAMP"":""2020-06-09 11:57:02""}"
28411.0,"{""AN3"":1.5728,""AN4"":0.69395,""AN5"":-4.8064,""AN6"":2.3237,""AN7"":3.4624,""AN8"":7.7371,""AN9"":-7.1208,""AN10"":-0.34403,""SPEED"":9.766262625735941E-4,""ID"":541.0,""TIMESTAMP"":""2020-06-09 11:53:39""}"
93286.0,"{""AN3"":2.0177,""AN4"":-1.5621,""AN5"":-1.792,""AN6"":-2.2615,""AN7"":-6.3687,""AN8"":-1.3273,""AN9"":-4.3344,""AN10"":-1.4154,""SPEED"":2.099339911530258E-4,""ID"":563.0,""TIMESTAMP"":""2020-06-09 11:54:01""}"
57206.0,"{""AN3"":1.2223,""AN4"":0.49129,""AN5"":-6.7202,""AN6"":-8.3389,""AN7"":0.60255,""AN8"":6.1689,""AN9"":6.7881,""AN10"":3.1807,""SPEED"":7.370417766330852E-4,""ID"":575.0,""TIMESTAMP"":""2020-06-09 11:54:13""}"
46515.0,"{""AN3"":1.9971,""AN4"":1.0594,""AN5"":-4.7734,""AN6"":1.0396,""AN7"":3.732,""AN8"":10.593,""AN9"":4.4263,""AN10"":0.56953,""SPEED"":5.830940496825029E-4,""ID"":604.0,""TIMESTAMP"":""2020-06-09 11:54:42""}"
55829.0,"{""AN3"":-0.41795,""AN4"":0.93481,""AN5"":2.3559,""AN6"":-1.6466,""AN7"":4.2325,""AN8"":10.207,""AN9"":-3.1867,""AN10"":-3.5884,""SPEED"":1.8703252873624387E-4,""ID"":621.0,""TIMESTAMP"":""2020-06-09 11:54:59""}"
29939.0,"{""AN3"":3.8792,""AN4"":-0.12158,""AN5"":3.7006,""AN6"":9.9083,""AN7"":0.38695,""AN8"":-9.1005,""AN9"":9.0524,""AN10"":-10.291,""SPEED"":8.503924794257201E-4,""ID"":741.0,""TIMESTAMP"":""2020-06-09 11:56:59""}"
52591.0,"{""AN3"":-3.6429,""AN4"":-0.65351,""AN5"":3.0206,""AN6"":-1.1664,""AN7"":-1.7104,""AN8"":4.918,""AN9"":0.41975,""AN10"":-1.6721,""SPEED"":2.818295942106119E-4,""ID"":527.0,""TIMESTAMP"":""2020-06-09 11:53:25""}"
54849.0,"{""AN3"":-1.4511,""AN4"":-4.4586,""AN5"":-0.367,""AN6"":3.8698,""AN7"":2.8206,""AN8"":-12.234,""AN9"":0.99456,""AN10"":0.031403,""SPEED"":9.216258945146522E-4,""ID"":595.0,""TIMESTAMP"":""2020-06-09 11:54:33""}"
9358.0,"{""AN3"":-1.8333,""AN4"":2.7788,""AN5"":-0.79515,""AN6"":-3.9632,""AN7"":3.7758,""AN8"":-0.97521,""AN9"":1.0176,""AN10"":-3.1316,""SPEED"":1.554701938954719E-4,""ID"":703.0,""TIMESTAMP"":""2020-06-09 11:56:21""}"
28513.0,"{""AN3"":-1.115,""AN4"":6.1934,""AN5"":0.98621,""AN6"":0.69469,""AN7"":-1.7513,""AN8"":1.9912,""AN9"":-1.4218,""AN10"":0.28036,""SPEED"":6.465344241424276E-4,""ID"":659.0,""TIMESTAMP"":""2020-06-09 11:55:37""}"
8464.0,"{""AN3"":-2.2815,""AN4"":2.4272,""AN5"":-3.2447,""AN6"":-2.8045,""AN7"":-4.8065,""AN8"":-7.1565,""AN9"":6.0564,""AN10"":1.6917,""SPEED"":5.827286126712971E-4,""ID"":529.0,""TIMESTAMP"":""2020-06-09 11:53:27""}"
23231.0,"{""AN3"":-0.42367,""AN4"":-1.123,""AN5"":-1.3149,""AN6"":-1.464,""AN7"":2.6284,""AN8"":-0.51342,""AN9"":-0.79291,""AN10"":-0.045877,""SPEED"":6.5972312282215E-5,""ID"":605.0,""TIMESTAMP"":""2020-06-09 11:54:43""}"
54426.0,"{""AN3"":5.4479,""AN4"":2.4313,""AN5"":-0.66826,""AN6"":5.388,""AN7"":-2.7869,""AN8"":7.0718,""AN9"":6.6275,""AN10"":2.4408,""SPEED"":2.4869939839509915E-4,""ID"":541.0,""TIMESTAMP"":""2020-06-09 11:53:39""}"
43404.0,"{""AN3"":2.7559,""AN4"":2.6947,""AN5"":3.23,""AN6"":3.0514,""AN7"":-6.6642,""AN8"":-14.932,""AN9"":-6.2911,""AN10"":1.0128,""SPEED"":2.2832538065629127E-4,""ID"":643.0,""TIMESTAMP"":""2020-06-09 11:55:21""}"
62226.0,"{""AN3"":-5.4223,""AN4"":5.7664,""AN5"":3.5153,""AN6"":0.92014,""AN7"":0.47785,""AN8"":-18.571,""AN9"":-1.985,""AN10"":-5.4767,""SPEED"":9.15670119261617E-4,""ID"":746.0,""TIMESTAMP"":""2020-06-09 11:57:04""}"
25405.0,"{""AN3"":-0.49169,""AN4"":-3.7206,""AN5"":1.8013,""AN6"":-4.2677,""AN7"":2.7387,""AN8"":8.2653,""AN9"":17.039,""AN10"":3.4972,""SPEED"":5.165478142761236E-4,""ID"":580.0,""TIMESTAMP"":""2020-06-09 11:54:18""}"
5299.0,"{""AN3"":-4.5285,""AN4"":5.8413,""AN5"":-3.4562,""AN6"":4.0715,""AN7"":-3.9528,""AN8"":-3.3971,""AN9"":-7.6216,""AN10"":-0.23458,""SPEED"":3.6388999136115874E-4,""ID"":742.0,""TIMESTAMP"":""2020-06-09 11:57:00""}"
52559.0,"{""AN3"":0.93131,""AN4"":-5.0854,""AN5"":-1.4164,""AN6"":6.2621,""AN7"":-1.2946,""AN8"":1.8579,""AN9"":5.7378,""AN10"":-1.0592,""SPEED"":6.451588298621732E-4,""ID"":697.0,""TIMESTAMP"":""2020-06-09 11:56:15""}"
88550.0,"{""AN3"":1.3358,""AN4"":1.8547,""AN5"":-6.3888,""AN6"":-10.244,""AN7"":-2.8132,""AN8"":-1.9693,""AN9"":-4.3708,""AN10"":5.3471,""SPEED"":2.5035135977725573E-4,""ID"":581.0,""TIMESTAMP"":""2020-06-09 11:54:19""}"
52196.0,"{""AN3"":-3.6972,""AN4"":0.40426,""AN5"":3.5519,""AN6"":5.228,""AN7"":1.9809,""AN8"":-1.3735,""AN9"":-7.1442,""AN10"":-6.3042,""SPEED"":5.8570381354681066E-5,""ID"":572.0,""TIMESTAMP"":""2020-06-09 11:54:10""}"
9312.0,"{""AN3"":2.5852,""AN4"":-1.4353,""AN5"":-2.4942,""AN6"":3.5675,""AN7"":4.9032,""AN8"":-6.0705,""AN9"":9.7203,""AN10"":2.4545,""SPEED"":3.7342983748098435E-4,""ID"":566.0,""TIMESTAMP"":""2020-06-09 11:54:04""}"
15054.0,"{""AN3"":-3.6723,""AN4"":2.8264,""AN5"":-1.1873,""AN6"":-6.7952,""AN7"":-5.5299,""AN8"":-3.669,""AN9"":-1.4354,""AN10"":0.71979,""SPEED"":5.799516797892017E-4,""ID"":640.0,""TIMESTAMP"":""2020-06-09 11:55:18""}"
1188.0,"{""AN3"":1.2518,""AN4"":5.4257,""AN5"":-7.0211,""AN6"":-6.9947,""AN7"":-8.9276,""AN8"":-8.3211,""AN9"":-12.84,""AN10"":3.3764,""SPEED"":4.045195021084824E-5,""ID"":557.0,""TIMESTAMP"":""2020-06-09 11:53:55""}"
42561.0,"{""AN3"":3.3924,""AN4"":-1.4026,""AN5"":-1.3059,""AN6"":-3.7863,""AN7"":3.3848,""AN8"":5.7998,""AN9"":10.033,""AN10"":0.84464,""SPEED"":5.621114235263477E-4,""ID"":602.0,""TIMESTAMP"":""2020-06-09 11:54:40""}"
